Nom;Table;nbr
190508028_TempRet;techant18272;120
190508028_TempRet;techant18266;120
1511521_TempRet;techant18557;120
1511521_TempRet;techant18551;120
190204057_TempRet;techant19215;120
190204057_TempRet;techant19209;120
190193697_TempRet;techant19257;120
190193697_TempRet;techant19242;120
190193694_TempRet;techant19287;120
190193694_TempRet;techant19280;120
1511230_TempRet;techant19329;120
1511230_TempRet;techant19311;120
1510539_TempRet;techant19375;120
1510539_TempRet;techant19369;120
1517193_TempRet;techant21975;120
1517193_TempRet;techant21968;120
1517329_TempRet;techant23451;120
1517329_TempRet;techant23445;120
1517311_TempRet;techant22396;120
1517311_TempRet;techant22390;120
1517283_TempRet;techant22008;120
1517283_TempRet;techant22002;120
1517167_TempRet;techant22055;120
1517167_TempRet;techant22045;120
191318932_TempRet;techant19773;120
191318932_TempRet;techant19787;120
1510706_TempRet;techant22433;120
1510706_TempRet;techant22427;120
1511670_TempRet;techant23705;120
1511670_TempRet;techant23722;120
3091164_TempRet;techant22466;120
3091164_TempRet;techant22460;120
191092172_TempRet;techant23487;120
191092172_TempRet;techant23481;120
1517672_TempRet;techant22497;120
1517672_TempRet;techant22491;120
191657534_TempRet;techant22538;120
191657534_TempRet;techant22528;120
2412928_TempRet;techant22567;120
2412928_TempRet;techant22561;120
1510719_TempRet;techant22604;120
1510719_TempRet;techant22595;120
191127811_TempRet;techant23520;120
191127811_TempRet;techant23514;120
1517226_TempRet;techant23553;120
1517226_TempRet;techant23547;120
1511555_TempRet;techant23590;120
1511555_TempRet;techant23580;120
3091169_TempRet;techant23620;120
3091169_TempRet;techant23613;120
1515853_TempRet;techant22640;120
1515853_TempRet;techant22653;120
1511718_TempRet;techant23653;120
1511718_TempRet;techant23646;120
235556390_TempRet;techant23689;120
235556390_TempRet;techant23676;120
190213104_TempRet;techant18099;120
190213104_TempRet;techant18092;120
